,Activity Score (X),Expression Level (Y),MOA Similarity (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.3290621498198259,0.11461915054746828,0.6502948189464803,0.5094687428810012,0.5094687087614542,0.7239116995039251,0.366214781999588
Target Cross Attn,0.4545611453328,0.15833305447692433,0.8983068036956557,0.703771954485978,0.7037718862468839,0.9999999771027596,0.5058832168579102
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.4558893144130707
Fusion Layer,0.36471714469207883,0.12703852918360542,0.7207565285130402,0.5646714403913556,0.5646713721522617,0.8023500132503953,0.4058954119682312
